tweet_id,writer,post_date,body,comment_num,retweet_num,like_num,polarity_spacy
1164922740249419777,wallstsolver,2019-08-23, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1165161126360956929,fuckCNBC,2019-08-24,Visa Inc (V) VICE CHAIR & CFO Vasant M Prabhu Sold $4.5 million of Shares https://ift.tt/2ZoPybX $spy $baba $aapl $amzn $bidu $ebay $jd $nvda $amd $tsla $mcd $dpz $mo $m $jpm $gs $nflx $fb $twtr,0,0,1,0.0
1165285133102047233,wallstsolver,2019-08-24, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,1,0,0.0
1165647525380071433,wallstsolver,2019-08-25, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,1,0,0.0
1166009903749771264,wallstsolver,2019-08-26, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1166372292353515523,wallstsolver,2019-08-27, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1166734681557131266,wallstsolver,2019-08-28, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1167097067635990528,wallstsolver,2019-08-29, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1167201868696686592,fuckCNBC,2019-08-29,Visa Inc. to Participate in Upcoming Investor Conferences https://ift.tt/2NKWbzr $spy $baba $aapl $amzn $bidu $ebay $jd $nvda $amd $tsla $mcd $dpz $mo $m $jpm $gs $nflx $fb $twtr,0,0,0,0.0
1167459455451226112,wallstsolver,2019-08-30, Conservative Buy Rankings  $MSFT  Microsoft Corporation $MA  Mastercard Incorporated Class A $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,1,0,0.0
1169996170212466695,wallstsolver,2019-09-06, Conservative Buy Rankings  $FB  Facebook Inc. Class A $MSFT  Microsoft Corporation $V  Visa Inc. Class ARankings  http://wallstsolver.com/conservativehttp://wallstsolver.com/conservative,0,0,0,0.0
1173825608297648128,dividendc2,2019-09-17,Mis TOP5 mejores compañías LARGE CAP GROWTH largo plazoFacebook Inc $FBVisa Inc $VPayPal Holdings Inc $PYPLMicrosoft Corp $MSFTAmazon Inc $AMZN,0,0,3,0.21428571428571427
1189646974229897216,dividendc2,2019-10-30,Mis TOP5 mejores compañías LARGE CAP GROWTH largo plazoFacebook Inc $FBVisa Inc $VPayPal Holdings Inc $PYPLMicrosoft Corp $MSFTAmazon Inc $AMZN,1,2,12,0.21428571428571427
